PD,942.9824,467.3822,613.4757,379.3289,171.1265
1,50734,68514,24461,21632,83201
1,60238,68870,20529,23251,106620
1,60434,71793,25010,23447,89350
1,49498,68387,25642,23244,89460
1,40452,67551,19667,21671,97087
1,50494,70792,24742,25768,94511
1,60978,69368,26252,23624,94969
1,46390,69961,22292,15409,89844
1,51676,68680,25173,23301,94185
0,19401,72580,37419,23649,98050
0,33331,77777,29091,20697,104987
0,47742,74735,23559,22090,92136
0,31207,72965,25762,20484,108226
0,48147,70544,20568,19086,107333
0,20836,72514,28720,20951,61736
0,15942,74046,22843,20405,82363
0,40651,79723,23029,21420,99900
0,19802,71641,19604,20016,84675
0,49601,67632,25739,19003,115957
0,41153,71476,29682,19955,116353
0,43220,74937,29687,23627,113340
0,40054,77659,25269,22062,110130
0,36869,75160,26522,18814,99300
0,25479,68336,24024,20058,69545
0,40264,74663,26340,20974,104180
0,34903,72680,27099,20621,117298
0,31749,77094,24531,15550,112160
0,46936,74800,26629,15082,101797
0,44847,74229,24534,21103,127588
0,18672,70622,20865,19549,72389
0,33460,74373,21062,21794,117173
0,29120,76481,27353,16446,106040
0,50555,61172,22983,19415,110340
0,34778,70545,29395,22831,108228
0,41574,76796,29688,16614,96530
0,54984,71820,24255,20021,118556
0,45743,74240,65265,23594,103189
0,43956,73313,27410,20810,102154
0,37581,71880,28862,21732,112419
0,48740,76036,26296,22968,110262
0,28675,75409,21449,20219,93653
0,38263,76609,86795,22907,98649
0,53858,72096,36284,21950,104649
0,42940,75521,30538,23157,113255
0,33093,73839,27936,22399,113006
0,36371,74290,50932,13828,97132
0,40028,81176,42892,24196,105863
0,49796,74587,30742,22084,114608